symptoms,disease,icd10_code,severity,medication
abdominal pain;blood in stool;weight loss,Inflammatory Bowel Disease,K50-K52,3,Mesalamine
excessive sweating;palpitations;tremors,Pheochromocytoma,E27.5,3,Phenoxybenzamine
abdominal pain;nausea;vomiting after eating,Cyclic Vomiting Syndrome,G43.A0,2,Amitriptyline
difficulty breathing;wheezing;coughing,Bronchiolitis,J21,2,Albuterol
recurrent sinus infections;nasal polyps;loss of smell,Chronic Rhinosinusitis,J32,2,Fluticasone nasal spray
abdominal pain;diarrhea;weight loss,Tropical Sprue,K90.1,2,Tetracycline
muscle weakness;difficulty walking;loss of balance,Friedreich's Ataxia,G11.1,3,Idebenone
excessive daytime sleepiness;snoring;morning headaches,Obstructive Sleep Apnea,G47.33,2,CPAP therapy
blurred vision;increased eye pressure;optic nerve damage,Open-Angle Glaucoma,H40.1,2,Latanoprost
muscle weakness;difficulty breathing;drooping eyelids,Botulism,A05.1,3,Antitoxin
muscle weakness;loss of muscle mass;fasciculations,Amyotrophic Lateral Sclerosis,G12.21,3,Riluzole
muscle pain;weakness;dark urine,Rhabdomyolysis,M62.82,3,Intravenous fluids
bone pain;fractures;kidney stones,Primary Hyperparathyroidism,E21.0,2,Cinacalcet
muscle weakness;difficulty climbing stairs;waddling gait,Duchenne Muscular Dystrophy,G71.0,3,Corticosteroids
excessive bruising;nosebleeds;heavy menstrual bleeding,Hemophilia,D66,3,Factor VIII concentrate
persistent dry cough;shortness of breath;chest pain,Interstitial Lung Disease,J84,3,Pirfenidone
frequent urination;excessive thirst;blurred vision,Gestational Diabetes,O24,2,Insulin
skin redness;itching;scaling,Atopic Dermatitis,L20,2,Topical corticosteroids
blood in urine;lower back pain;nausea,Kidney Cancer,C64,3,Sunitinib
memory loss;confusion;hallucinations,Lewy Body Dementia,G31.83,3,Rivastigmine
bone pain;fractures;height loss,Osteoporosis,M81,2,Alendronate
abdominal pain;diarrhea;joint pain,Whipple's Disease,K90.81,2,Trimethoprim-sulfamethoxazole
chest pain;shortness of breath;fainting,Pulmonary Hypertension,I27.0,3,Sildenafil
abdominal pain;weight loss;diarrhea,Zollinger-Ellison Syndrome,E16.4,2,Omeprazole
skin lesions;nerve damage;muscle weakness,Leprosy,A30,2,Dapsone
abdominal pain;jaundice;dark urine,Hepatitis B,B16,2,Entecavir
excessive thirst;frequent urination;fruity breath odor,Diabetic Ketoacidosis,E11.69,3,Insulin
chest pain;shortness of breath;dizziness,Aortic Dissection,I71.0,3,Beta-blockers
abdominal pain;fever;painful urination,Prostatitis,N41,2,Ciprofloxacin
joint pain;skin rash;eye inflammation,Reactive Arthritis,M02,2,NSAIDs
difficulty breathing;blue-tinged skin;confusion,Carbon Monoxide Poisoning,T58,3,Oxygen therapy
persistent cough;blood-tinged sputum;chest pain,Lung Abscess,J85,3,Ampicillin-sulbactam
abdominal pain;bloody diarrhea;fever,Shigellosis,A03,2,Ciprofloxacin
excessive sweating;weight loss;hand tremors,Thyrotoxicosis,E05.9,2,Propranolol
shortness of breath;cough;chest tightness,Bronchiolitis Obliterans,J44.8,3,Corticosteroids
difficulty swallowing;hoarseness;ear pain,Laryngeal Cancer,C32,3,Radiation therapy
vision loss;eye pain;flashing lights,Retinal Detachment,H33,3,Surgical repair
abdominal pain;bloating;constipation,Small Intestinal Bacterial Overgrowth,K90.89,2,Rifaximin
skin lesions;joint pain;fever,Rocky Mountain Spotted Fever,A77.0,3,Doxycycline
vertigo;hearing loss;tinnitus,Ménière's Disease,H81.0,2,Betahistine
abdominal pain;jaundice;clay-colored stools,Gallbladder Cancer,C23,3,Gemcitabine
cough;chest pain;fever,Q Fever,A78,2,Doxycycline
muscle weakness;difficulty speaking;swallowing problems,Progressive Bulbar Palsy,G12.22,3,Riluzole
abdominal pain;bloody diarrhea;fatigue,Lymphocytic Colitis,K52.832,2,Budesonide
joint pain;skin changes;muscle weakness,Inclusion Body Myositis,G72.41,3,Physical therapy
difficulty breathing;chest pain;coughing up blood,Goodpasture Syndrome,M31.0,3,Cyclophosphamide
excessive urination;extreme thirst;unexplained weight loss,Maturity Onset Diabetes of the Young,E13,3,Sulfonylureas
skin rash;joint pain;butterfly-shaped facial rash,Discoid Lupus Erythematosus,L93.0,2,Topical corticosteroids
bone pain;fractures;kidney stones,Paget's Disease,M88,2,Zoledronic acid
difficulty breathing;wheezing;coughing,Bronchopulmonary Dysplasia,P27.1,3,Budesonide
abdominal pain;bloody diarrhea;fever,Amebiasis,A06,2,Metronidazole
difficulty swallowing;hoarseness;ear pain,Esophageal Cancer,C15,3,Cisplatin
muscle weakness;difficulty walking;speech problems,Multiple System Atrophy,G90.3,3,Levodopa
abdominal pain;bloating;constipation,Chronic Intestinal Pseudo-obstruction,K59.8,2,Erythromycin
skin lesions;joint pain;fever,Erythema Nodosum,L52,2,Naproxen
excessive daytime sleepiness;sleep paralysis;hallucinations,Kleine-Levin Syndrome,G47.8,2,Lithium
vertigo;hearing loss;tinnitus,Acoustic Neuroma,D33.3,2,Stereotactic radiosurgery
abdominal pain;jaundice;clay-colored stools,Cholangiocarcinoma,C22.1,3,Gemcitabine
muscle weakness;difficulty swallowing;slurred speech,Progressive Supranuclear Palsy,G23.1,3,Levodopa
cough;chest pain;fever,Legionnaires' Disease,A48.1,3,Levofloxacin
abdominal pain;diarrhea;joint pain,Henoch-Schönlein Purpura,D69.0,2,Prednisone
bone pain;fractures;kidney stones,X-linked Hypophosphatemia,E83.31,2,Phosphate supplements
vision changes;headaches;pulsatile tinnitus,Cerebral Venous Sinus Thrombosis,I67.6,3,Heparin
chest pain;shortness of breath;fainting,Eisenmenger Syndrome,I27.83,3,Bosentan
abdominal pain;weight loss;diarrhea,Carcinoid Syndrome,E34.0,3,Octreotide
muscle weakness;difficulty speaking;swallowing problems,Spinobulbar Muscular Atrophy,G12.1,3,Leuprolide
joint pain;skin rash;sun sensitivity,Subacute Cutaneous Lupus Erythematosus,L93.1,2,Hydroxychloroquine
excessive daytime sleepiness;snoring;morning headaches,Upper Airway Resistance Syndrome,G47.30,2,Positional therapy
abdominal pain;bloody diarrhea;fatigue,Collagenous Colitis,K52.831,2,Budesonide
joint pain;skin changes;muscle weakness,Eosinophilic Fasciitis,M35.4,2,Prednisone
burning sensation;frequent urination;lower back pain,Urinary Tract Infection,N39.0,1,Nitrofurantoin
mouth sores;difficulty swallowing;weight loss,Oral Cancer,C06,3,Cisplatin
joint pain;skin rash;fever,Kawasaki Disease,M30.3,2,Aspirin
bone pain;fractures;kidney stones,Osteomalacia,M83,2,Vitamin D supplements
rash;fever;joint pain,Zika Virus,A92.5,2,Acetaminophen
muscle weakness;loss of sensation;bladder problems,Transverse Myelitis,G37.3,3,Methylprednisolone
skin ulcers;fever;enlarged lymph nodes,Cutaneous Leishmaniasis,B55.1,2,Sodium stibogluconate
skin rash;fever;enlarged lymph nodes,Cat Scratch Disease,A28.1,2,Azithromycin
excessive sweating;rapid heartbeat;tremors,Thyroid Storm,E05.5,3,Propranolol
tremors;coordination problems;slurred speech,Cerebellar Ataxia,G11,3,Supportive care
abdominal pain;nausea;vomiting,Pancreatitis,K85,3,Morphine
difficulty breathing;chest pain;coughing up blood,Wegener's Granulomatosis,M31.3,3,Cyclophosphamide
abdominal pain;bloating;weight loss,Ovarian Cancer,C56,3,Paclitaxel
abdominal pain;jaundice;weight loss,Pancreatic Cancer,C25,3,Gemcitabine
red eyes;itching;tearing,Allergic Conjunctivitis,H10.45,1,Ketotifen eye drops
neck pain;stiffness;headache,Cervical Spondylosis,M47.812,2,Cyclobenzaprine
frequent urination;burning sensation;lower abdominal pain,Cystitis,N30.0,2,Phenazopyridine
skin ulcers;fever;swollen lymph nodes,Cutaneous Anthrax,A22.0,3,Ciprofloxacin
difficulty concentrating;restlessness;mood swings,Attention Deficit Hyperactivity Disorder,F90.0,2,Methylphenidate
chest pain;difficulty swallowing;regurgitation,Esophageal Spasm,K22.4,2,Nifedipine
painful urination;pelvic pain;fever,Pelvic Inflammatory Disease,N73.9,2,Doxycycline
joint pain;skin rash;eye inflammation,Reiter's Syndrome,M02.3,2,Sulfasalazine
difficulty speaking;facial drooping;arm weakness,Transient Ischemic Attack,G45.9,3,Aspirin
facial droop;arm weakness;speech difficulties,Wallenberg Syndrome,G46.3,3,Anticoagulants
tremors;muscle stiffness;balance problems,Corticobasal Degeneration,G31.85,3,Levodopa
abdominal pain;weight loss;diarrhea,Gastrinoma,D37.4,3,Proton pump inhibitors
excessive daytime sleepiness;snoring;morning headaches,Central Sleep Apnea,G47.31,2,Adaptive servo-ventilation
abdominal pain;bloody diarrhea;fatigue,Eosinophilic Colitis,K52.82,2,Budesonide
facial droop;arm weakness;speech difficulties,Lacunar Stroke,I63.0,3,Aspirin
excessive urination;extreme thirst;unexplained weight loss,Latent Autoimmune Diabetes in Adults,E11.9,3,Insulin
skin rash;joint pain;butterfly-shaped facial rash,Drug-induced Lupus,M32.0,2,Discontinuation of offending drug
fever;cough;fatigue,Pneumocystis Pneumonia,B59,3,Trimethoprim-sulfamethoxazole
chest pain;shortness of breath;palpitations,Atrial Fibrillation,I48,2,Warfarin
muscle weakness;drooping eyelids;double vision,Ocular Myasthenia Gravis,G70.00,2,Neostigmine
difficulty breathing;coughing;chest tightness,Occupational Asthma,J45.5,2,Fluticasone
vision loss;eye pain;light sensitivity,Retinitis Pigmentosa,H35.52,3,Vitamin A palmitate
muscle weakness;difficulty walking;falls,Charcot-Marie-Tooth Disease,G60.0,2,Gabapentin
vertigo;hearing loss;tinnitus,Labyrinthitis,H83.0,2,Meclizine
joint pain;fever;rash,Familial Mediterranean Fever,E85.0,2,Colchicine
excessive bruising;nosebleeds;prolonged bleeding,Factor XI Deficiency,D68.1,2,Fresh Frozen Plasma
abdominal pain;weight loss;diarrhea,VIPoma,D13.7,3,Octreotide
skin lesions;joint pain;fever,Sweet's Syndrome,L98.2,2,Prednisone
excessive daytime sleepiness;sleep paralysis;hallucinations,Idiopathic Hypersomnia,G47.11,2,Modafinil
muscle weakness;difficulty swallowing;slurred speech,Machado-Joseph Disease,G11.2,3,Baclofen
cough;chest pain;fever,Tularemia,A21,3,Streptomycin
abdominal pain;diarrhea;joint pain,Intestinal Lymphangiectasia,I89.0,2,Medium-chain triglyceride diet
excessive bruising;nosebleeds;prolonged bleeding,Bernard-Soulier Syndrome,D69.1,2,Platelet transfusions
hair loss;fatigue;cold intolerance,Hashimoto's Thyroiditis,E06.3,2,Levothyroxine
abdominal pain;vomiting;constipation,Intestinal Obstruction,K56,3,Nasogastric decompression
chest pain;sweating;shortness of breath,Unstable Angina,I20.0,3,Nitroglycerin
difficulty breathing;cough;chest pain,Pneumonia,J15,3,Azithromycin
skin rash;fever;enlarged lymph nodes,Measles,B05,2,Vitamin A
swelling;fatigue;loss of appetite,Chronic Kidney Disease,N18,3,Erythropoietin
foamy urine;fatigue;swollen ankles,Nephrotic Syndrome,N04,2,Prednisone
blood in urine;lower back pain;frequent urination,Polycystic Kidney Disease,Q61,2,Tolvaptan
decreased urine output;confusion;swelling,Acute Kidney Injury,N17,3,Furosemide
high blood pressure;headache;nosebleeds,Renal Hypertension,I15.0,2,Lisinopril
frequent urination;thirst;fatigue,Diabetic Nephropathy,E11.21,2,Losartan
itchy skin;bone pain;fatigue,Renal Osteodystrophy,N25.0,2,Calcitriol
nausea;loss of appetite;muscle cramps,End-Stage Renal Disease,N18.6,3,Dialysis
flank pain;fever;chills,Renal Abscess,N15.1,2,Vancomycin
blood in urine;flank pain;fever,Glomerulonephritis,N05,2,Cyclophosphamide
fatigue;pale skin;shortness of breath,Renal Anemia,D63.1,2,Iron supplements
foamy urine;swelling;fatigue,Membranous Nephropathy,N04.1,2,Cyclosporine
flank pain;fever;painful urination,Renal Tuberculosis,A18.11,2,Isoniazid
blood in urine;flank pain;weight loss,Renal Sarcoma,C49.4,3,Doxorubicin
nausea;vomiting;confusion,Uremia,N18.5,3,Sodium polystyrene sulfonate
frequent urination;lower back pain;fever,Interstitial Nephritis,N12,2,Corticosteroids
swelling;shortness of breath;fatigue,Renal Edema,R60.1,2,Spironolactone
flank pain;fever;nausea,Xanthogranulomatous Pyelonephritis,N11.8,2,Ampicillin
blood in urine;flank pain;fever,IgA Nephropathy,N02.8,2,Methylprednisolone
frequent urination;lower back pain;fever,Renal Cyst Infection,N28.1,2,Levofloxacin
fatigue;loss of appetite;itchy skin,Renal Failure,N19,3,Sodium bicarbonate
swelling;fatigue;shortness of breath,Minimal Change Disease,N04.0,2,Tacrolimus
blood in urine;flank pain;fever,Lupus Nephritis,M32.14,3,Mycophenolate mofetil
frequent urination;lower back pain;fever,Renal Papillary Necrosis,N17.2,2,Oxycodone
nausea;vomiting;confusion,Renal Tubular Acidosis,N25.89,2,Potassium citrate
flank pain;fever;chills,Perinephric Abscess,N15.9,2,Piperacillin-tazobactam
blood in urine;lower back pain;fever,Renal Vein Thrombosis,I82.3,2,Enoxaparin
frequent urination;lower back pain;fever,Reflux Nephropathy,N13.70,2,Trimethoprim
flank pain;fever;nausea,Renal Cortical Necrosis,N17.1,3,Hemodialysis
fatigue;pale skin;shortness of breath,Renal Amyloidosis,E85.4,2,Colchicine
swelling;fatigue;loss of appetite,Membranoproliferative Glomerulonephritis,N05.5,2,Azathioprine
frequent urination;lower back pain;fever,Medullary Sponge Kidney,Q61.5,1,Potassium citrate
flank pain;fever;chills,Renal Infarction,N28.0,2,Heparin
blood in urine;lower back pain;fever,Alport Syndrome,Q87.81,2,ACE inhibitors
nausea;vomiting;confusion,Renal Tubular Necrosis,N17.0,3,Continuous renal replacement therapy
swelling;fatigue;shortness of breath,Congenital Nephrotic Syndrome,N04.9,3,Albumin infusion
flank pain;fever;painful urination,Renal Actinomycosis,A42.1,2,Penicillin G
chest pain;shortness of breath;fatigue,Coronary Artery Disease,I25.1,3,Atorvastatin
chest pain;arm pain;sweating,Acute Coronary Syndrome,I24,3,Clopidogrel
shortness of breath;fatigue;swelling,Cardiomyopathy,I42,3,Metoprolol
chest pain;difficulty breathing;coughing,Pericarditis,I30,2,Ibuprofen
dizziness;fainting;chest pain,Aortic Stenosis,I35.0,3,Amlodipine
shortness of breath;chest pain;palpitations,Mitral Valve Prolapse,I34.1,2,Propranolol
chest pain;fever;fatigue,Endocarditis,I33,3,Vancomycin
swelling;shortness of breath;fatigue,Pulmonary Edema,J81,3,Morphine
chest pain;rapid heartbeat;anxiety,Panic Disorder with Cardiac Symptoms,F41.0,2,Sertraline
shortness of breath;cough;wheezing,Cor Pulmonale,I27.2,3,Sildenafil
chest pain;shortness of breath;cough,Myocarditis,I40,3,Prednisone
fatigue;weakness;shortness of breath,Dilated Cardiomyopathy,I42.0,3,Enalapril
dizziness;fainting;fatigue,Sick Sinus Syndrome,I49.5,2,Pacemaker insertion
chest pain;shortness of breath;nausea,Takotsubo Cardiomyopathy,I51.81,3,Metoprolol
swelling;shortness of breath;fatigue,Restrictive Cardiomyopathy,I42.5,3,Spironolactone
chest pain;shortness of breath;irregular heartbeat,Ventricular Tachycardia,I47.2,3,Lidocaine
dizziness;fainting;chest pain,Postural Orthostatic Tachycardia Syndrome,G90.8,2,Midodrine
chest pain;shortness of breath;sweating,Prinzmetal Angina,I20.1,2,Diltiazem
fatigue;shortness of breath;swelling,Constrictive Pericarditis,I31.1,3,Colchicine
chest pain;shortness of breath;rapid heartbeat,Cardiac Tamponade,I31.9,3,Pericardiocentesis
dizziness;fainting;chest pain,Long QT Syndrome,I45.81,3,Nadolol
chest pain;shortness of breath;palpitations,Wolff-Parkinson-White Syndrome,I45.6,2,Flecainide
dizziness;fainting;chest pain,Brugada Syndrome,I49.8,3,Quinidine
chest pain;shortness of breath;fatigue,Cardiac Sarcoidosis,D86.85,3,Prednisone
shortness of breath;fatigue;swelling,Right-Sided Heart Failure,I50.810,3,Torsemide
